STATION_NAME,STATION_ID,X,Y,LATITUDE,LONGITUDE,MRT_TRACK_CODE
SAMUDERA,PW4,35660.6597,44188.8482,1.415901719,103.9021353,PLRT
SEGAR,BP11,20908.767,41078.4025,1.387772131,103.7696171,BPLRT
SEMBAWANG,NS11,26522.9883,47854.1998,1.449050821,103.8200504,NS
SENGKANG,STC,34913.5879,41502.6997,1.391609364,103.8954243,SLRT
SENGKANG,NE16,34918.274,41512.1277,1.391694626,103.8954664,NE
SENJA,BP13,20104.0139,40516.7226,1.382692296,103.7623879,BPLRT
SERANGOON,CC13,32345.7724,36967.5123,1.350595256,103.8723572,CC
SERANGOON,NE12,32480.0726,36869.3924,1.349707875,103.8735637,NE
SIMEI,EW3,41360.6138,36150.3959,1.343202895,103.9533387,EW
SIXTH AVENUE,DT7,23985.5297,34777.1434,1.330786387,103.7972561,DT
SOMERSET,NS23,28640.656,31401.6698,1.300260055,103.8390737,NS
SOO TECK,PW7,35110.1988,42993.1699,1.405088585,103.8971904,PLRT
SOUTH VIEW,BP2,18203.7243,40252.0686,1.380298287,103.7453173,BPLRT
STADIUM,CC6,32677.7526,31687.0547,1.30284063,103.8753395,CC
STEVENS,DT10,27188.23,33591.6608,1.320065557,103.8260263,DT
SUMANG,PW6,35260.2918,43365.1308,1.408452426,103.8985387,PLRT
TAI SENG,CC11,34107.1526,35291.0164,1.335433322,103.88818,CC
TAMPINES EAST,DT33,41501.0749,37586.6178,1.356191483,103.9546005,DT
TAMPINES,EW2,40445.4297,37266.9909,1.353301356,103.9451175,EW
TAMPINES,DT32,40213.0284,37463.3697,1.355077429,103.9430298,DT
TAMPINES WEST,DT31,39698.5276,36406.0143,1.345515305,103.938408,DT
TAN KAH KEE,DT8,25106.8667,34234.9609,1.325883209,103.8073292,DT
TANAH MERAH,EW4,40578.8616,34379.4144,1.327187135,103.9463161,EW
TANJONG PAGAR,EW15,29396.2311,28776.7576,1.276521247,103.8458611,EW
TECK LEE,PW2,36152.6993,43842.6721,1.412770894,103.9065554,PLRT
TECK WHYE,BP4,19140.8,39852.4608,1.376684679,103.7537352,BPLRT
TELOK AYER,DT18,29667.6216,29414.5867,1.282289536,103.8482991,DT
TELOK BLANGAH,CC28,25376.8469,28138.9667,1.270753211,103.8097544,CC
THANGGAM,SW4,32709.2689,42133.9003,1.397318155,103.8756226,SLRT
TIONG BAHRU,EW17,27298.9575,29846.251,1.286193393,103.827021,EW
TOA PAYOH,NS19,29578.4408,34980.8638,1.332628987,103.8474979,NS
TONGKANG,SW7,33845.4132,41252.6183,1.389347953,103.8858287,SLRT
TUAS CRESCENT,EW31,7495.531,33698.6818,1.321026553,103.6491245,EW
TUAS LINK,EW33,6138.3115,35848.0658,1.340463766,103.6369324,EW
TUAS WEST ROAD,EW32,6442.6401,34689.7988,1.329989089,103.6396662,EW
UBI,DT27,35337.7709,34685.4833,1.329956826,103.8992348,DT
UPPER CHANGI,DT34,42262.0767,35988.4036,1.341737484,103.9614367,DT
WOODLANDS,NS9,22788.1527,46507.9219,1.436875128,103.7864999,NS
WOODLANDS,TE2,22949.0322,46418.5578,1.436066981,103.7879451,TE
WOODLANDS SOUTH,TE3,23607.8309,45444.7113,1.427259979,103.7938631,TE
WOODLEIGH,NE11,32173.3186,35706.3794,1.339190046,103.8708081,NE
YEW TEE,NS5,18438.9791,42158.0124,1.397535018,103.7474307,NS
YIO CHU KANG,NS15,29294.1283,40413.082,1.381756046,103.8449439,NS
YISHUN,NS13,28187.6787,45686.0701,1.429443081,103.8350045,NS
